stage,iteration,temperature,current_cost,new_cost,best_cost,current_distance,best_distance,accepted,reward,rem_idx,ins_idx,noise_idx,q_removed,unassigned,is_unvisited
stage1,1,272.0111772804756,3770.8756122550617,3677.281010913225,3677.281010913225,3677.281010913225,3677.281010913225,1,0.022338350523654252,1,0,1,8,0,1
stage1,2,272.00845716870276,3677.281010913225,3620.8596598302074,3620.8596598302074,3620.8596598302074,3620.8596598302074,1,0.013808902780074813,1,0,0,10,0,1
stage1,3,272.0057370841311,3620.8596598302074,3620.8596598302074,3620.8596598302074,3620.8596598302074,3620.8596598302074,1,0.0,1,0,1,4,0,0
stage1,4,272.0030170267603,3620.8596598302074,3620.8596598302074,3620.8596598302074,3620.8596598302074,3620.8596598302074,1,0.0,0,0,1,10,0,0
stage1,5,272.00029699659,3620.8596598302074,3620.8596598302074,3620.8596598302074,3620.8596598302074,3620.8596598302074,1,0.0,1,0,1,6,0,0
stage1,6,271.99757699362004,3620.8596598302074,3624.6320418017845,3620.8596598302074,3624.6320418017845,3620.8596598302074,1,-0.0009376623491059408,0,0,1,7,0,1
stage1,7,271.9948570178501,3624.6320418017845,3472.329573691377,3472.329573691377,3472.329573691377,3472.329573691377,1,0.03781686519308838,2,0,0,8,0,1
stage1,8,271.9921370692799,3472.329573691377,3472.329573691377,3472.329573691377,3472.329573691377,3472.329573691377,1,0.0,1,0,0,10,0,0
stage1,9,271.98941714790925,3472.329573691377,3475.21740677625,3472.329573691377,3475.21740677625,3472.329573691377,1,-0.0007485031939588069,1,0,1,9,0,1
stage1,10,271.98669725373776,3475.21740677625,103462.17470606738,3472.329573691377,3475.21740677625,3472.329573691377,0,-5.752592455688188,2,0,1,11,0,1
stage1,11,271.9839773867652,3475.21740677625,3360.1559315260106,3360.1559315260106,3360.1559315260106,3360.1559315260106,1,0.02979823003973653,2,0,1,9,0,1
stage1,12,271.98125754699134,3360.1559315260106,3357.4529620938547,3357.4529620938547,3357.4529620938547,3357.4529620938547,1,0.0007239760709067784,0,0,1,8,0,1
stage1,13,271.9785377344159,3357.4529620938547,3349.201635465752,3349.201635465752,3349.201635465752,3349.201635465752,1,0.002211853464258515,2,0,0,8,0,1
stage1,14,271.97581794903857,3349.201635465752,3346.313802380879,3346.313802380879,3346.313802380879,3346.313802380879,1,0.0007760206936672491,1,0,0,10,0,1
stage1,15,271.9730981908591,3346.313802380879,3346.313802380879,3346.313802380879,3346.313802380879,3346.313802380879,1,0.0,2,0,0,9,0,0
stage1,16,271.9703784598772,3346.313802380879,3266.879026954712,3266.879026954712,3266.879026954712,3266.879026954712,1,0.021364194186655427,0,0,1,9,0,1
stage1,17,271.96765875609265,3266.879026954712,3199.7367771987488,3199.7367771987488,3199.7367771987488,3199.7367771987488,1,0.0184971724639269,2,0,0,10,0,1
stage1,18,271.9649390795051,3199.7367771987488,3179.1504155934526,3179.1504155934526,3179.1504155934526,3179.1504155934526,1,0.005790390502367153,2,0,0,6,0,1
stage1,19,271.9622194301143,3179.1504155934526,3175.9413976199553,3175.9413976199553,3175.9413976199553,3175.9413976199553,1,0.000908455341396132,1,0,0,10,0,1
stage1,20,271.95949980792005,3175.9413976199553,3176.7826592096476,3175.9413976199553,3176.7826592096476,3175.9413976199553,1,-0.00023839716667645722,1,0,1,7,0,1
stage1,21,271.956780212922,3176.7826592096476,3170.750263222973,3170.750263222973,3170.750263222973,3170.750263222973,1,0.0017090109618509003,1,0,0,5,0,1
stage1,22,271.9540606451199,3170.750263222973,3170.750263222973,3170.750263222973,3170.750263222973,3170.750263222973,1,0.0,0,0,1,6,0,0
stage1,23,271.95134110451346,3170.750263222973,3160.1874521211853,3160.1874521211853,3160.1874521211853,3160.1874521211853,1,0.002998195758863023,0,0,0,9,0,1
stage1,24,271.94862159110244,3160.1874521211853,3160.1874521211853,3160.1874521211853,3160.1874521211853,3160.1874521211853,1,0.0,0,0,0,5,0,0
stage1,25,271.94590210488656,3160.1874521211853,2988.541996079603,2988.541996079603,2988.541996079603,2988.541996079603,1,0.04888346428112458,2,0,0,11,0,1
stage1,26,271.94318264586553,2988.541996079603,2988.541996079603,2988.541996079603,2988.541996079603,2988.541996079603,1,0.0,2,0,1,6,0,0
stage1,27,271.9404632140391,2988.541996079603,2988.541996079603,2988.541996079603,2988.541996079603,2988.541996079603,1,0.0,2,0,0,9,0,0
stage1,28,271.937743809407,2988.541996079603,2988.541996079603,2988.541996079603,2988.541996079603,2988.541996079603,1,0.0,2,0,0,12,0,0
stage1,29,271.9350244319689,2988.541996079603,2981.608762060922,2981.608762060922,2981.608762060922,2981.608762060922,1,0.0020879447653734053,0,0,0,8,0,1
stage1,30,271.93230508172456,2981.608762060922,2981.608762060922,2981.608762060922,2981.608762060922,2981.608762060922,1,0.0,2,0,0,11,0,0
stage1,31,271.92958575867374,2981.608762060922,2981.608762060922,2981.608762060922,2981.608762060922,2981.608762060922,1,0.0,0,0,0,5,0,0
stage1,32,271.9268664628162,2981.608762060922,2981.608762060922,2981.608762060922,2981.608762060922,2981.608762060922,1,0.0,2,0,0,6,0,0
stage1,33,271.92414719415154,2981.608762060922,2981.608762060922,2981.608762060922,2981.608762060922,2981.608762060922,1,0.0,1,0,0,5,0,0
stage1,34,271.9214279526796,2981.608762060922,2981.608762060922,2981.608762060922,2981.608762060922,2981.608762060922,1,0.0,2,0,1,5,0,0
stage1,35,271.9187087384001,2981.608762060922,2982.076371528296,2981.608762060922,2982.076371528296,2981.608762060922,1,-0.00014114813653345429,2,0,1,8,0,1
stage1,36,271.9159895513127,2982.076371528296,2982.076371528296,2981.608762060922,2982.076371528296,2981.608762060922,1,0.0,0,0,1,11,0,0
stage1,37,271.9132703914172,2982.076371528296,2985.656568314589,2981.608762060922,2982.076371528296,2981.608762060922,0,-0.0010805146167374709,2,0,1,4,0,1
stage1,38,271.9105512587133,2982.076371528296,2921.5927182107293,2921.5927182107293,2921.5927182107293,2921.5927182107293,1,0.01825415623340064,2,0,0,9,0,1
stage1,39,271.90783215320073,2921.5927182107293,2921.5927182107293,2921.5927182107293,2921.5927182107293,2921.5927182107293,1,0.0,0,0,0,5,0,0
stage1,40,271.9051130748792,2921.5927182107293,2921.5927182107293,2921.5927182107293,2921.5927182107293,2921.5927182107293,1,0.0,1,0,0,4,0,0
stage1,41,271.90239402374846,2921.5927182107293,2917.842050059102,2917.842050059102,2917.842050059102,2917.842050059102,1,0.001155397641643913,2,0,0,6,0,1
stage1,42,271.8996749998082,2917.842050059102,2920.729883143975,2917.842050059102,2920.729883143975,2917.842050059102,1,-0.0008907438208771353,2,0,1,5,0,1
stage1,43,271.8969560030582,2920.729883143975,2915.2364987836377,2915.2364987836377,2915.2364987836377,2915.2364987836377,1,0.0016927432943512994,2,0,0,7,0,1
stage1,44,271.8942370334982,2915.2364987836377,2914.7688893162635,2914.7688893162635,2914.7688893162635,2914.7688893162635,1,0.0001443617081538032,2,0,1,6,0,1
stage1,45,271.89151809112786,2914.7688893162635,2821.312393618252,2821.312393618252,2821.312393618252,2821.312393618252,1,0.028856780527783416,2,0,0,12,0,1
stage1,46,271.888799175947,2821.312393618252,2821.312393618252,2821.312393618252,2821.312393618252,2821.312393618252,1,0.0,1,0,0,10,0,0
stage1,47,271.8860802879552,2821.312393618252,2821.312393618252,2821.312393618252,2821.312393618252,2821.312393618252,1,0.0,0,0,1,4,0,0
stage1,48,271.88336142715235,2821.312393618252,2822.481949791626,2821.312393618252,2822.481949791626,2821.312393618252,1,-0.0003730889774622719,0,0,1,4,0,1
stage1,49,271.8806425935381,2822.481949791626,102733.20587922263,2821.312393618252,2822.481949791626,2821.312393618252,0,-7.058429327265189,1,0,0,7,0,1
stage1,50,271.87792378711214,2822.481949791626,2787.2113421826894,2787.2113421826894,2787.2113421826894,2787.2113421826894,1,0.011246678424422339,0,0,0,6,0,1
stage1,51,271.8752050078743,2787.2113421826894,2787.2113421826894,2787.2113421826894,2787.2113421826894,2787.2113421826894,1,0.0,2,0,0,4,0,0
stage1,52,271.87248625582424,2787.2113421826894,2781.480387609649,2781.480387609649,2781.480387609649,2781.480387609649,1,0.0018505446779996338,0,0,1,8,0,1
stage1,53,271.8697675309617,2781.480387609649,2749.0230113670145,2749.0230113670145,2749.0230113670145,2749.0230113670145,1,0.01050219111682282,2,0,0,6,0,1
stage1,54,271.86704883328645,2749.0230113670145,2747.440716647128,2747.440716647128,2747.440716647128,2747.440716647128,1,0.000518025946676192,0,0,0,9,0,1
stage1,55,271.8643301627981,2747.440716647128,2747.440716647128,2747.440716647128,2747.440716647128,2747.440716647128,1,0.0,2,0,0,5,0,0
stage1,56,271.86161151949653,2747.440716647128,2747.440716647128,2747.440716647128,2747.440716647128,2747.440716647128,1,0.0,0,0,0,6,0,0
stage1,57,271.85889290338133,2747.440716647128,2747.440716647128,2747.440716647128,2747.440716647128,2747.440716647128,1,0.0,2,0,0,9,0,0
stage1,58,271.8561743144523,2747.440716647128,2747.440716647128,2747.440716647128,2747.440716647128,2747.440716647128,1,0.0,2,0,0,9,0,0
stage1,59,271.8534557527092,2747.440716647128,2747.440716647128,2747.440716647128,2747.440716647128,2747.440716647128,1,0.0,1,0,0,12,0,0
stage1,60,271.85073721815166,2747.440716647128,2850.2112065790716,2747.440716647128,2850.2112065790716,2747.440716647128,1,-0.03366530909231951,0,0,1,11,0,1
